palabra,grado,fuerza,vecinos
method,14,4341,"['analysis', 'research', 'model', 'learning', 'study', 'based', 'teaching', 'design', 'students', 'results', 'data', 'time', 'algorithm', 'accuracy']"
analysis,14,2899,"['method', 'research', 'model', 'time', 'study', 'algorithm', 'design', 'data', 'learning', 'based', 'teaching', 'students', 'results', 'accuracy']"
research,14,3218,"['method', 'analysis', 'model', 'time', 'study', 'results', 'algorithm', 'design', 'data', 'learning', 'based', 'teaching', 'students', 'accuracy']"
model,14,4399,"['learning', 'method', 'study', 'based', 'teaching', 'design', 'students', 'results', 'data', 'analysis', 'research', 'time', 'algorithm', 'accuracy']"
learning,14,2557,"['model', 'method', 'study', 'based', 'teaching', 'design', 'students', 'results', 'data', 'analysis', 'research', 'algorithm', 'time', 'accuracy']"
study,14,3968,"['model', 'learning', 'method', 'based', 'teaching', 'design', 'students', 'results', 'research', 'algorithm', 'analysis', 'data', 'time', 'accuracy']"
based,14,4104,"['model', 'learning', 'method', 'study', 'teaching', 'design', 'students', 'results', 'data', 'accuracy', 'analysis', 'research', 'algorithm', 'time']"
teaching,14,1068,"['model', 'learning', 'method', 'study', 'based', 'design', 'students', 'results', 'analysis', 'research', 'data', 'accuracy', 'time', 'algorithm']"
design,14,2416,"['model', 'learning', 'method', 'study', 'based', 'teaching', 'students', 'results', 'data', 'accuracy', 'algorithm', 'analysis', 'research', 'time']"
students,14,1182,"['model', 'learning', 'method', 'study', 'based', 'teaching', 'design', 'results', 'time', 'analysis', 'research', 'data', 'accuracy', 'algorithm']"
results,14,4050,"['model', 'learning', 'method', 'study', 'based', 'teaching', 'design', 'students', 'data', 'research', 'algorithm', 'analysis', 'time', 'accuracy']"
time,14,2889,"['model', 'analysis', 'research', 'method', 'study', 'students', 'design', 'data', 'based', 'learning', 'algorithm', 'results', 'accuracy', 'teaching']"
data,14,4156,"['model', 'design', 'results', 'method', 'based', 'accuracy', 'study', 'algorithm', 'learning', 'analysis', 'research', 'time', 'students', 'teaching']"
accuracy,14,2889,"['data', 'based', 'design', 'model', 'method', 'study', 'algorithm', 'results', 'analysis', 'research', 'time', 'learning', 'teaching', 'students']"
algorithm,14,2442,"['model', 'study', 'design', 'analysis', 'research', 'data', 'method', 'based', 'results', 'learning', 'time', 'accuracy', 'students', 'teaching']"
